,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
60.336632,-15.120049,2.431111,µm,Vesicles red, Vesicles red Position,0,1,18,300034011,300031361,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.823441,-14.592267,2.696746,µm,Vesicles red, Vesicles red Position,0,1,18,300034012,300031362,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.719376,-17.638945,3.006942,µm,Vesicles red, Vesicles red Position,0,1,18,300034013,300031363,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
68.187103,-20.914701,2.624784,µm,Vesicles red, Vesicles red Position,0,1,18,300034014,300031364,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
43.873718,-7.333486,2.047027,µm,Vesicles red, Vesicles red Position,0,1,18,300034015,300031365,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.844193,-25.15115,0.085008,µm,Vesicles red, Vesicles red Position,0,1,19,300034016,300060414,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.574783,-26.508913,0.135264,µm,Vesicles red, Vesicles red Position,0,1,19,300034017,300060415,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.298649,-26.139179,0.109779,µm,Vesicles red, Vesicles red Position,0,1,19,300034018,300060416,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
42.526947,-9.887261,1.256469,µm,Vesicles red, Vesicles red Position,0,1,19,300034019,300060417,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
42.115261,-10.723969,1.411893,µm,Vesicles red, Vesicles red Position,0,1,19,300034020,300060418,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
